City,Latitude,Longitude,US_AQI
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,44.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,58.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,58.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,60.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,59.0
Agartala,23.8315,91.2868,58.0
Agartala,23.8315,91.2868,58.0
Agartala,23.8315,91.2868,58.0
Agartala,23.8315,91.2868,58.0
Agartala,23.8315,91.2868,57.0
Agartala,23.8315,91.2868,56.0
Agartala,23.8315,91.2868,55.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,54.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,53.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,52.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,40.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,39.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,37.0
Agartala,23.8315,91.2868,36.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,21.0
Agartala,23.8315,91.2868,20.0
Agartala,23.8315,91.2868,20.0
Agartala,23.8315,91.2868,20.0
Agartala,23.8315,91.2868,19.0
Agartala,23.8315,91.2868,19.0
Agartala,23.8315,91.2868,19.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,20.0
Agartala,23.8315,91.2868,20.0
Agartala,23.8315,91.2868,21.0
Agartala,23.8315,91.2868,21.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,41.0
Agartala,23.8315,91.2868,43.0
Agartala,23.8315,91.2868,45.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,51.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,50.0
Agartala,23.8315,91.2868,49.0
Agartala,23.8315,91.2868,48.0
Agartala,23.8315,91.2868,47.0
Agartala,23.8315,91.2868,46.0
Agartala,23.8315,91.2868,42.0
Agartala,23.8315,91.2868,38.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,35.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,34.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,33.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,32.0
Agartala,23.8315,91.2868,31.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,24.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,21.0
Agartala,23.8315,91.2868,21.0
Agartala,23.8315,91.2868,20.0
Agartala,23.8315,91.2868,19.0
Agartala,23.8315,91.2868,19.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,18.0
Agartala,23.8315,91.2868,19.0
Agartala,23.8315,91.2868,20.0
Agartala,23.8315,91.2868,22.0
Agartala,23.8315,91.2868,23.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,30.0
Agartala,23.8315,91.2868,29.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,26.0
Agartala,23.8315,91.2868,25.0
Agartala,23.8315,91.2868,27.0
Agartala,23.8315,91.2868,28.0
Agartala,23.8315,91.2868,28.0
